Designator,Mid X,Mid Y,Rotation,Layer
C10,141.0,-90.5,0.0,top
C11,138.901053,-90.119624,180.0,top
C206,140.0,-104.75,270.0,top
C207,137.25,-91.75,90.0,top
C208,135.75,-103.75,270.0,top
C209,139.0,-104.5,270.0,top
C210,134.75,-103.75,270.0,top
C211,143.75,-101.0,0.0,top
C212,133.025268,-96.188915,135.0,top
C213,144.023705,-97.122962,0.0,top
C214,138.405904,-91.752137,90.0,top
C215,132.694841,-103.749524,270.0,top
C216,133.694841,-103.749524,270.0,top
C40,142.25,-108.75,180.0,top
C90,133.125054,-81.941272,90.0,top
C92,135.749829,-87.861863,90.0,top
C93,125.442338,-87.740095,90.0,top
C94,124.425824,-90.202152,270.0,top
C95,123.205772,-88.339051,90.0,top
J5,146.41283,-76.094976,90.0,top
J6,137.91,-117.625,0.0,top
R12,139.5,-92.25,90.0,top
R203,137.900183,-103.75,90.0,top
R204,136.900183,-103.75,90.0,top
R3,141.005,-112.755,0.0,top
R30,150.25,-112.0,270.0,top
R4,134.505,-112.765,0.0,top
R91,135.5,-89.854549,180.0,top
S1,153.455,-117.625,180.0,top
S2,162.865,-117.625,180.0,top
U2,138.6,-98.3125,270.0,top
U4,146.5,-106.75,180.0,top
U9,130.387999,-87.644025,180.0,top
X1,140.5,-88.0,270.0,top
Y2,120.35,-89.051477,180.0,top
